"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122"
"98","A98",5,5,5.1,5.4,6.1,6.1,5.87,5.57,5.3,5.24,5.3,5.3,5.3,5.3,5.3,4.9,4.3,4.3,4.36,4.53,4.09,4,4,4,4,4,4,4,4,4,4,4,4,4.18,4.45,4.5,4.5,4.5,4.5,4.5,4.42,3.96,3.93,4.29,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
"99","A99",5,5,5,5,4.99,4.26,3.1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.48,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.3,3.1,3.18,3,3,3,3.29,4.2,4.5,4.5,4.51,4.6,4.99,4.71,4.5,4.5,4.5
"100","A100",5,5,6.29,2.9,3.19,7.79,8.8,8.8,7.7,8.36,5.73,1.06,5.51,8.92,8.89,8.08,7.51,5.11,7.24,8.69,9,9,9,9,9,8.54,8.4,6.76,2.22,6.02,7.1,8.1,8.57,8.77,4.73,1,1,1,1.12,5.74,6.75,3.1,2.56,6.57,5.49,2.6,2.6,2.88,7.67,8.4,8.44,8,8,8.16,8.67,9,9,9
"101","A101",5,5,5,5,5,5,5,2.77,1.11,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"102","A102",5,5,5,5,5,5,5,5,5,5,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.68,4.5,4.5,4.5,4.5,4.42,4.4,4.4,4.4,4.4,4.48,4.29,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.81,3.8,3.8,3.8,3.8,3.8
"103","A103",5,5,5,4.64,4.38,4.19,4.11,4.11,4.08,4,3.94,3.88,3.88,3.9,3.85,3.84,4.01,3.91,3.83,3.83,3.88,3.99,4.07,4.07,4.07,4.08,4.08,4.08,4.08,4.07,4.05,4.03,4.03,4.03,4.01,4,4,4,4,4,4,3.99,3.99,3.99,3.99,3.99,4.06,4.06,4.01,3.9,3.9,3.9,3.9,3.9,3.9,3.92,4,4
"104","A104",5,5,5,5,5,5,5,5,5,5.13,4.76,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.76,5.13,5.46,5.8,5.8,5.78,5.5,5.49,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.1,5,4.87,4.8,4.56,4.4,4.43,4.56,4.63,4.7,4.8,4.8,4.98,5,5,5.09,5.29,5.6,5.5,5.5,5.5,5.5
"105","A105",5,4.97,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,4.93,4.14,4,3.87,3.8,3.7,4.67,5.3,5.4,5.4,5.4,5.54,5.7,5.87,6,6,6,6,6,6.1,6.1,6.1,6.1,6.11,6.3,6.5,6.48,5.16,4.33,3.22,2.8,2.8,2.61,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.23,2.1
"106","A106",5,5,5,5,5,5,5,5,5,5,5,5,5,5.03,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.99,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.19,5,5,5,5,5,5,5,5,5,5,5
"107","A107",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.66,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.03,4.02,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,4.44,4.42,4.42,4.42,4.42
"108","A108",5,5,5,5,5,5,5,5,4.49,4.13,4,4,4,4,4,4,4,4,4,3.99,3.36,2.9,2.44,2.5,2.5,2.5,2.5,2.5,2.5,2.58,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.74,2.8,2.13,1.64,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.27,1.2
"109","A109",5,4.98,4.8,4.8,4.7,4.59,4.39,4.26,3.93,4.06,3.78,3.61,2.99,3.02,3.17,3.11,3.43,3.74,4.4,5.32,6.12,7.02,7.35,7.07,6.44,5.9,5,5.02,5.44,6.06,6.46,6.82,6.83,6.84,6.96,6.38,6.01,4.8,3.73,3.03,2.48,2.43,2.82,3.82,5.22,6.1,6.71,6.98,7.22,7.32,6.8,5.64,4.8,5.03,4.89,5,4.94,4.73
"110","A110",5,4.96,4.97,4.77,4.67,4.33,4.09,3.76,3.37,3.06,2.79,2.44,2.43,2.46,2.46,2.47,2.48,2.47,2.91,3.07,3.21,3.36,3.49,3.66,3.48,3.57,3.78,4.18,4.81,5.03,4.66,4.61,4.14,3.98,4.35,4.63,4.78,5.16,4.98,4.59,4.4,4.22,4.01,4.21,4.76,5.04,5.57,6.07,6.27,6.24,5.68,5.61,5.12,5.4,5.3,5.2,5.2,5.2
"111","A111",5,5,5,5,5,4.52,4.17,4.17,4.17,4.17,4.07,4.07,4.07,4.04,3.93,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.87,3.94,4.53,5.08,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.31,5.3,5.28,4.88,4.29,3.73,3.69,3.69,3.69,3.69,3.69,3.66,3.52,3.35,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.34
"112","A112",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.01,5.04,5.51,5.51,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"113","A113",5,5,5,5,5,5,5,5,5,5,5,5,5.03,5.21,2.61,1.54,1.47,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
"114","A114",5.02,5.94,5.99,5.81,5.93,5.43,5.4,5.32,5.16,4.96,4.92,4.42,4.1,4.71,4.98,4.87,4.98,4.92,6.16,6,6.1,6.04,5.8,5.41,5.5,5.2,5.2,5.11,5.08,4.7,4.4,4.2,4.2,4.14,4.4,4.36,4.3,4.38,4.22,3.76,3.53,3.6,3.72,5.08,5.2,5.63,5.5,5.9,6.19,6.1,6.23,6.3,6.41,6.41,5.79,5.08,4.9,4.9
"115","A115",5,5.1,5,4.9,5.1,5.32,5.32,5.36,5.56,5.83,5.93,6.1,6.02,5.77,6.22,6.02,6,6,6.24,6.58,6.52,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.64,6.1,6.02,6.06,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"116","A116",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.3,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65,3.65
"117","A117",5,5,5,5.26,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5.97,5.36,5,4.69,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.49,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.46,4.1,4.1,4.1,4.09,4,4,4,4,4,4
"118","A118",5,5.03,6.08,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"119","A119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A120",5,5,5.1,5.1,5.1,5.1,5.1,4.89,4.67,4.56,4.46,4.5,4.5,4.6,4.32,4.27,4.2,4.2,4.13,4.5,4.6,4.6,4.69,4.7,4.7,4.7,4.77,5.03,5.2,5.04,3.89,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.84,4.3,4.3,4.3,4.4,4.04,3.6,3.84
"121","A121",5,5,4.72,4.53,4.5,4.13,3.07,3,3,3,3,3,2.87,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.78,3.4,4,4,4,4,3.7,4.7,4.5,4.5,4.5,4.5,4.5,4.5,4.27,3.44,3,3,2.76,1.46,2,3.77,5.58,5.5,5.5,5.5,5.5,5.5,4.6,4.6,4.68,5.3,5.3,5.3,5.3,5.3
"122","A122",5,5,5,5,5,5,5,4.77,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.88,3.3,3.46,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.49,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"123","A123",5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.67,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
