"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90","V92","V94","V96","V98","V100","V102","V104","V106","V108","V110","V112","V114","V116","V118","V120","V122","V124"
"87","A87",5,5,5,5,5,5,5,5,5.09,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.78,4.88,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.03,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.27,5.3
"88","A88",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.82,4,4,4,4,4,4,4,4,3.98,3.18,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"89","A89",5,5,5,5,5,4.47,4.4,4.4,4.4,4.41,4.28,4.1,3.86,3.8,3.61,3.6,3.55,3.4,3.4,3.3,3.22,3.1,3.1,3,3,3,3,3,3,3,2.83,2.7,2.47,1.5,1.5,1.96,2.1,2,2,2.09,2.31,2.6,2.6,2.78,2.78,2.7,2.6,2.6,2.31,2.01,1.67,1.3,1.3,1.16,1,1,1,1.14,1.77
"90","A90",5,5,5,5,6.34,7.39,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.7,7.7,7.7,7.7,7.7,7.8,7.8,7.8,7.8,7.8,7.8,7.82,7.9,7.9,7.9,8,8,8,7.97,7.9,7.92,8,8,8,8,8.06,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.2,8.2,8.2,8.2,8.2,8.2,8.2
"91","A91",5,5,4.99,4.13,3.09,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.87,2.44,2.5,3.77,3.18,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.78,3,3,3,3,3
"92","A92",5,5,5.16,5.2,5.2,5.3,5.34,5.4,5.4,5.58,5.6,5.59,5.68,5.9,5.9,5.9,6,6,6,6.12,6.2,6.2,6.27,6.3,6.3,6.33,6.5,6.6,6.6,6.6,6.57,6.6,6.6,6.62,6.64,6.6,6.5,6.43,6.56,6.79,7,7.04,6.98,7,7,7,6.89,6.71,6.62,6.69,6.6,6.43,6.36,6.13,5.83,5.37,5.3,5.24,5.39
"93","A93",5,5,5,5,5,7.98,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8.99,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.91
"94","A94",5,5,5,5,5,5,5.03,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3,5.36,5.4,5.4,5.4,5.23,5,5.21,5.4,5.41,5.5,5.57,5.63,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.68,5.51,5.41,5.4,5.4,5.4,5.4,5.47,5.5,5.5,5.6
"95","A95",5,3.33,2.8,3.06,3.44,4.4,4.92,5.76,7.07,7.1,6.43,5.88,5.9,5.98,5.31,5.3,5.3,5.12,4.06,4,3.98,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.62,3.6,3.6,3.62,3.7,2,2,2,2,2.03,4.02,6.21,6.5,6.5,6.5,6.5,6.8,7,7,7,7,7,6.99,4.1,3.88,4.07,4.4,4.5,4.5,4.5,5.72
"96","A96",5,5,5,5,5,4.9,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.14,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.64,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.61,2.8,2.8,2.8,2.8,2.8,2.8,2.8
"97","A97",5,5,5,5.17,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.38,5.49,5.5,5.5,5.3,5.1,5.08,5,4.9,4.9,4.9,5,4.66,4.6,4.6,4.6,4.54,4.5,4.54,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.48,4.97,5.2,5.3,5.39,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.32,4.96,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.9
"98","A98",5,5,5,4.37,3.23,3,3,3,3,3,3,3,3,3,3,2.23,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,1.3,1.3,1.61,2.4,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
"99","A99",5,5,5,5,5,4.83,3.32,2.03,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.33,1.1,1.1,1.1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.19,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
