"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68"
"11","A11",5,5,5.03,6,6.73,6.9,6.87,4.9,4.52,4,4,4,4,4.03,4.3,5.3,5.3,4.44,4.3,4.3,4.21,4.2,4.8,4.8,4.8,4.88,5.5,5.5,5.5,6,6.2
"12","A12",5,5.1,5.39,5.88,6,6,6,6.1,6,6,6,6,6.22,6.54,6.89,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7.31
"13","A13",5,5,5,5,5.27,6.04,6.1,6.02,6,6,6,6,6.08,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,7.01,7.4,7.4,7.4,7.4,7.4,7.4,7.57
"14","A14",5,5,5,4.1,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.02,3,3,3,3,3,3,3,3,3,3,3
"15","A15",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.97,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8
"16","A16",5,5.22,5.52,5.7,5.7,5.7,5.7,5.7,5.79,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.4,6.4,6.4,6.4,6.4,6.4,6.4
"17","A17",5,4.8,4.4,4.4,4.7,4.7,4.63,4.6,4.76,5.4,5.4,5.4,5.5,6,6.11,6.2,6.2,6.2,6.2,6.2,6.2,6.04,6,5.96,5.9,5.91,6.3,6.3,6.3,6.3,6.3
"18","A18",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.7,5.79,2.2,1,1,1,1,1,1,1,1,1,1,1,1
"19","A19",5,5,5,5,5,5,5,5.4,5.9,5.9,5.9,5.9,5.9,5.99,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,5.44,4.61,4.1,4.1,4.02,3.64
"20","A20",5,5,5.1,5.3,5.52,6.11,7.34,7.46,7.6,7.6,7.7,7.93,8,7.98,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.99,8,8.03,8.2,8.2,8.22,8.4,8.4,8.4,8.4
"21","A21",5,5,5,4.3,4.3,4.3,4.3,4.17,3.8,3.8,3.8,3.8,3.8,3.8,3.66,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6
"22","A22",5,5,5,5,5,5,5,5,5.02,5.22,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.39,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.42,5.7,5.7,5.7,5.7,5.7
"23","A23",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.81,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
"24","A24",5,5,5,5.04,5.3,5.3,5.3,5.3,5.4,5.6,5.6,5.6,5.9,5.9,5.9,6.1,6.1,6.1,6.1,6.1,6.1,6.2,6.2,6.26,6.48,6.5,6.5,6.7,6.74,7.17,7.3
"25","A25",5,4.83,4.78,4.7,4.67,4.6,4.6,4.41,4.4,4.4,4.4,4.4,4.38,4.03,3.9,3.9,3.9,3.8,3.8,3.8,3.8,4.03,4.4,4.4,4.47,4.5,4.5,4.5,4.5,4.5,4.57
"26","A26",5,5,5,5,5,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.18,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
"27","A27",5,5,5,5,5,5,5,5,5.16,5.2,5.2,5.16,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,5.2,5.2,5.2
"28","A28",5,5,5.28,5.5,5.68,5.7,5.78,5.8,5.8,6.18,6.3,6.3,6.4,6.6,6.7,6.7,6.7,6.7,6.7,6.9,6.9,6.9,6.9,6.9,6.9,6.9,7.1,7.1,7.1,7.12,7.3
"29","A29",5,5,5,5.03,5.52,5.8,6,6,6,6,6,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,5.98,6.18,6.4,6.47,6.4,6.43
