"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84"
"71","A71",5,4.1,4.1,4.1,4.1,4.1,4.1,5.23,6.4,6.45,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.1,5.2,5.82,6,6,7.53,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"72","A72",5,5.31,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.8,6,6,6,6,6,6
"73","A73",5,5,5,5,5,5,5,5,5,5,5.28,6.27,6.4,6.4,7.23,7.4,7.4,7.4,7.41,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.61,7.5,7.5,7.5,7.5,7.3,6.78,6.5,6.5,5.9,5.8,5.8,5.8
"74","A74",5,5,5.08,5.91,6.04,6.83,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"75","A75",5,5,5,5,5,5,5,5,5.34,5.76,6.07,6.3,6.6,6.6,6.6,6.6,6.6,6.6,6.79,6.9,7.13,7.3,7.3,7.38,7.5,7.5,7.5,7.5,7.5,7.88,8,8,8,8,8,8,8.07,8.1,8.1
"76","A76",5,5,5,5,5,5.47,5.5,5.5,5.98,6,6,6,6,6,6.4,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
"77","A77",5,5.02,5.23,5.4,5.4,5.6,5.6,5.61,5.74,5.86,5.9,6,6.1,6.2,6.32,6.4,6.4,6.4,6.4,6.4,6.5,6.5,6.56,6.6,6.6,6.63,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.8,6.8,6.8
"78","A78",5,5,5.22,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.73,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
"79","A79",5,5.07,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.67,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1
"80","A80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","A81",5,4.9,4.9,5,5,5,5,5.02,5.1,5.2,5.2,5.3,5.3,5.3,5.39,5.3,5.3,5.3,5.3,5.3,5.3,5.31,5.46,5.51,5.72,5.9,5.91,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
"82","A82",5,5.13,5,4.91,4.76,4.66,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.59,4.8,4.8,4.8,4.8,4.8,4.78,4.6,4.9,4.9,4.92,5.1,5.1,5.1,5.1
"83","A83",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.72,4.8,5.04,4.86,4.8
"84","A84",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.2,5.79,5.78,5.78,5.78,5.78,5.78
