"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84","V86","V88","V90"
"108","A108",5,5,5,5,5,5,5,5,5,6.53,7.94,8.19,8.18,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.82,8,8,8,8,8,8,8,8
"109","A109",5.03,5.31,5.08,4.57,4.36,3.92,3.48,3.04,2.95,2.84,2.84,3.04,2.91,3.13,3.06,3.06,3.06,3.04,2.71,2.28,1.83,1.54,1.54,1.56,1.56,1.66,1.27,1.03,1.1,1.1,1,1.09,1.37,1.27,1.24,1.06,1.24,1,1.19,1.62,1.32,1.2
"110","A110",5.02,5.04,5.01,5,5.03,5.39,5.68,6.02,6.36,6.46,6.46,6.56,6.47,6.46,6.17,5.88,5.87,5.02,4.41,4.34,3.99,3.53,3.73,3.64,3.78,4.21,4.7,5.14,5.16,5.17,5.08,4.96,5.32,5.5,5.03,4.77,5.1,5.22,5.12,5.74,6.02,5.35
"111","A111",5,5,5.6,6.52,7,7,7.14,7.31,7.31,7.47,7.47,7.47,7.53,7.67,7.67,7.67,7.75,7.93,7.93,7.93,7.93,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.92,6.21,5.02,4.71,5.64,6.62,6.77,6.8,6.8,6.86,7.27,7.45,7.45,7.45
"112","A112",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.95,5.48,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.54,5.56,5.51,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
"113","A113",5,5,5,5.04,5.46,5.5,5.5,5.34,4.73,4.5,4.5,3.96,3.62,3.42,3.4,3.4,3.4,3.38,3.1,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.93,1.9,1.91,1.72,1.49,1.2,1.31,1.86,2.4,2.4,2.02,2,2,2,2,2
"114","A114",5,4.73,4.47,4.26,4.1,3.8,3.8,3.6,3.33,3.3,2.9,2.9,2.78,2.6,2.5,2.5,2.5,2.53,2.4,2.4,2.3,2.2,2.2,2.32,2.33,1.99,1.8,1.7,1.7,1.5,1.18,1.72,3.2,3,2.9,2.7,2.5,2.95,2.96,3.1,2.98,2.5
"115","A115",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.38,6.14,6.19,5.83,5.51,5.4,5.23,5.39,5.13,4.66,5.36,5.26,5.48,4.71,4.08,3.54,3.77,4,4,3.99
"116","A116",5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,7.76,6.88,5.49,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68,5.68
"117","A117",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.66,6.11,6.3,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
"118","A118",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"119","A119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","A120",5,5,5,5,4.9,4.8,4.49,4.34,4.24,3.98,3.94,3.72,3.49,3.27,3.11,3.13,3.06,2.87,2.64,2.64,2.83,2.86,2.88,3.07,3.1,3.1,2.68,2.5,2.46,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.47,2.98,3.27,3.37,3.3,3.3
"121","A121",5,5.87,6,6,5.69,4.06,3.79,5.08,5.16,4.6,4.6,4.69,5.63,6.1,6.1,5.48,3.94,2.9,2.93,5,3.46,3.16,3.1,3.1,3.08,2.61,2.5,1.13,1.1,1.1,1.07,2.54,6,5.38,3.8,3.32,1.8,2.12,1.5,1.5,1.5,1.5
"122","A122",5,5,5,5,5,5,5,5.99,6.12,7,7,7,7,7,7,7,7,7,6.43,5,3.97,3.04,3,3,3,3,3,2.63,2,2,2,2.03,3.23,4.42,6.48,7,7,7,7,7,7,6.53
"123","A123",5,5,5.17,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
